pitch_type,stuff_bin,release_height_bin,mean_velo,mean_ivb,mean_hb,mean_spin,mean_ivb_diff,mean_velo_diff,mean_release_x,mean_axis,avg_stuff_plus,count
SI,5,3,94.806,9.11,-15.907,2178.389,-0.148,0.622,1.954,187.968,119.4,4328
SI,5,4,94.952,9.458,-15.851,2157.555,-0.081,0.579,1.608,180.025,120.5,3429
SL,1,1,83.103,0.912,6.297,2406.62,-0.704,-9.615,2.533,135.52,72.1,3380
SL,1,2,84.468,0.996,5.376,2338.684,-1.003,-9.172,2.189,128.778,82.5,2154
SL,1,3,84.648,0.663,4.898,2395.834,-1.159,-8.761,1.806,132.186,79.7,2362
SL,1,4,84.377,1.59,3.857,2349.761,-1.056,-8.262,1.679,171.678,73.5,2485
SL,2,1,84.524,1.058,5.335,2410.36,-0.81,-9.031,2.323,135.253,94.8,4525
SL,2,2,85.086,1.779,4.959,2371.215,-0.934,-8.759,2.177,136.002,94.9,4596
SL,2,3,85.106,1.324,4.653,2388.152,-1.06,-8.421,1.886,141.232,94.9,5041
SL,2,4,84.899,1.865,3.892,2361.3,-1.019,-7.999,1.787,172.577,94.8,3960
SL,3,1,85.406,1.446,5.245,2443.641,-0.794,-8.801,2.301,139.341,100.2,5933
SL,3,2,85.833,2.052,4.927,2425.252,-0.929,-8.426,2.11,136.921,100.3,7100
SL,3,3,85.955,1.807,4.646,2415.612,-1.049,-8.123,1.866,142.773,100.3,7676
SL,3,4,85.543,2.065,4.007,2384.733,-1.051,-7.881,1.77,166.336,100.3,5859
SL,4,1,85.762,1.21,5.878,2490.304,-0.794,-9.009,2.271,136.319,106.1,6230
SL,4,2,86.376,2.057,5.225,2471.996,-0.95,-8.558,2.058,134.054,106,7188
SL,4,3,86.519,1.624,4.832,2457.268,-1.097,-8.254,1.823,138.118,105.9,7288
SL,4,4,86.128,1.77,4.083,2422.483,-1.109,-7.888,1.717,158.399,106.1,7171
SL,5,1,84.907,1.62,7.07,2508.574,-0.664,-9.487,2.444,151.355,118.7,4869
SL,5,2,86.906,1.802,5.149,2490.753,-0.953,-8.768,1.927,137.016,116.2,3835
SL,5,3,87.332,1.119,4.925,2523.531,-1.153,-8.406,1.555,129.404,117.1,4338
SL,5,4,86.669,0.814,4.387,2488.418,-1.19,-8.515,1.515,142.312,118.3,6310
ST,1,1,79.833,1.57,14.229,2438.191,-0.62,-11.428,2.284,142.352,75.1,3398
ST,1,2,80.865,-1.011,13.742,2462.913,-0.92,-11.298,2.178,134.805,79.6,1446
ST,1,3,80.678,-1.341,13.047,2467.586,-1.099,-10.78,1.852,104.728,80.6,625
ST,1,4,81.353,-2.56,12.53,2489.578,-1.186,-9.862,1.663,107.475,74.6,457
ST,2,1,80.939,1.441,13.816,2493.692,-0.65,-10.934,2.292,120.96,94.6,3175
ST,2,2,81.703,-0.159,13.192,2495.534,-0.873,-11.023,2.12,122.401,94.7,2057
ST,2,3,81.354,-0.561,12.416,2468.347,-1.042,-10.668,1.794,110.733,94.8,1050
ST,2,4,81.899,-0.168,11.753,2488.123,-1,-9.637,1.875,98.669,94.7,543
ST,3,1,81.531,2.039,13.971,2542.448,-0.579,-10.709,2.362,117.537,100.3,3696
ST,3,2,82.318,0.827,13.17,2534.841,-0.807,-10.709,2.07,121.867,100.2,2385
ST,3,3,82.034,0.411,12.783,2523.38,-0.992,-10.418,1.791,116.032,100.3,1291
ST,3,4,82.149,0.047,12.45,2537.254,-1.015,-9.827,1.764,104.194,100.2,639
ST,4,1,81.94,2.736,14.384,2590.66,-0.524,-10.564,2.368,111.37,106.2,4597
ST,4,2,82.841,1.881,13.69,2588.124,-0.753,-10.684,2.068,117.09,106.2,2829
ST,4,3,82.283,1.169,13.674,2566.186,-0.958,-10.575,1.754,123.998,106.2,1630
ST,4,4,82.051,0.223,13.577,2574.559,-1.038,-10.307,1.725,99.759,106.4,876
ST,5,1,81.897,3.531,15.599,2656.666,-0.428,-10.649,2.408,123.076,120.1,5496
ST,5,2,83.441,2.421,15.433,2710.885,-0.762,-10.483,1.962,111.871,119.2,3111
ST,5,3,82.309,1.159,15.741,2649.355,-0.958,-10.737,1.7,128.148,117.8,1433
ST,5,4,81.895,-0.827,16.024,2663.801,-1.118,-11.006,1.49,78.535,122.8,1540
SV,1,1,80.914,-3.872,11.767,2200.416,-1.156,-11.059,1.898,204.121,81.4,231
SV,1,2,82.953,-4.939,13.263,2359.113,-1.52,-10.329,2.267,62.475,80.7,257
SV,1,3,80.679,-6.12,11.455,2467.949,-1.631,-12.157,2.037,142.641,80.3,39
SV,1,4,80.936,-8.194,12.3,2607.357,-1.974,-13.329,2.034,77.786,80.5,14
SV,2,1,81.124,-3.928,12.18,2313.288,-1.144,-10.75,1.804,182.272,94.4,191
SV,2,2,82.719,-4.595,13.367,2379.748,-1.477,-10.343,2.179,81.367,94.5,313
SV,2,3,81.642,-5.811,12.368,2531.559,-1.623,-11.37,2.026,138.525,94.9,59
SV,2,4,80.736,-7.929,13.483,2679.286,-1.945,-13.45,1.878,58.357,94.2,14
SV,3,1,81.101,-3.785,12.214,2440.457,-1.103,-10.438,1.738,166.751,100.1,173
SV,3,2,81.876,-4.674,12.908,2487.434,-1.484,-10.785,2.198,135.785,100,228
SV,3,3,81.632,-4.036,12.26,2563.5,-1.451,-11.161,1.981,168.017,100.3,60
SV,3,4,82.343,-5.091,15.977,2649.714,-1.68,-12.332,1.72,44,101.7,7
SV,4,1,81.23,-3.289,12.982,2509.696,-0.972,-9.82,1.561,137.196,106.2,194
SV,4,2,81.904,-5.494,13.57,2544.493,-1.57,-10.798,2.169,116.664,105.9,152
SV,4,3,81.884,-6.931,12.659,2731.489,-1.688,-11.038,2.158,214.044,106,45
SV,4,4,81.864,-7.756,14.891,2631.818,-1.892,-12.824,1.967,65.364,105.7,11
SV,5,1,81.007,-3.923,14.329,2606.389,-1.063,-10.113,1.506,134.279,122.4,262
SV,5,2,80.544,-8.259,15.955,2890.603,-1.724,-11.739,1.81,112.466,118.9,174
SV,5,3,81.917,-7.54,15.96,2786.111,-1.791,-11.319,2.217,226.5,119.2,36
SV,5,4,81.171,-7.011,18.8,2635.143,-1.876,-13.057,2.048,94.143,119.9,21
