pitch_type,stuff_bin,release_height_bin,mean_velo,mean_ivb,mean_hb,mean_spin,mean_ivb_diff,mean_velo_diff,mean_release_x,mean_axis,avg_stuff_plus,count
FS,4,4,86.71,4.385,-7.799,1187.521,-0.545,-6.384,1.674,234.823,104.2,96
FS,5,1,86.291,2.389,-8.536,1414.864,-0.593,-7.957,1.839,226.864,114.4,22
FS,5,2,87.17,2.046,-7.64,1457.603,-0.709,-8.263,2.139,228.492,116.5,63
FS,5,3,85.527,2.87,-6.926,1268.254,-0.816,-8.254,1.615,221.042,116.8,71
FS,5,4,86.614,4.03,-7.433,1116.678,-0.595,-6.025,1.662,235.656,115.4,183
KC,1,1,80.964,-7.212,5.925,2523.065,-1.314,-8.94,1.945,225.565,67.3,138
KC,1,2,80.7,-8.137,6.206,2543.481,-1.48,-10.764,1.803,146.994,71.8,162
KC,1,3,82.727,-7.738,4.374,2583.216,-1.548,-11.358,1.677,73.979,67.7,97
KC,1,4,79.935,-6.956,4.431,2526.888,-1.674,-12.406,1.709,217.684,66.6,294
KC,2,1,81.13,-6.859,4.967,2521.383,-1.267,-8.948,1.984,241.223,93.4,94
KC,2,2,81.014,-7.526,4.336,2503.987,-1.404,-9.987,1.92,186.605,93.2,152
KC,2,3,83.26,-6.969,4.212,2560.588,-1.487,-11.112,1.724,108.838,93.5,68
KC,2,4,79.585,-8.007,4.825,2503.453,-1.791,-12.441,1.73,245.358,92.9,212
KC,3,1,81.284,-7.007,5.302,2502.664,-1.287,-8.764,1.985,232.416,99.3,113
KC,3,2,81.531,-7.279,4.096,2501.985,-1.37,-9.73,2.023,189.267,98.7,131
KC,3,3,84.09,-4.678,2.245,2508.902,-1.331,-10.48,2.007,135.295,99.4,61
KC,3,4,78.65,-8.644,5.135,2513.868,-1.89,-12.998,1.7,264.178,99.1,197
KC,4,1,81.579,-6.548,4.656,2512.132,-1.258,-8.463,2.016,231.678,104,121
KC,4,2,81.311,-7.156,3.511,2497.473,-1.337,-9.269,1.931,206.543,104.2,188
KC,4,3,84.503,-4.718,2.114,2495.86,-1.283,-9.953,2.058,115.692,104.5,107
KC,4,4,79.879,-7.321,4.333,2522.027,-1.72,-12.261,1.764,223.142,104.3,260
KC,5,1,81.853,-6.449,5.13,2501.635,-1.261,-8.433,2.101,234.651,114.3,126
KC,5,2,82.09,-7.322,3.742,2531.75,-1.347,-8.786,1.916,193.364,114.6,228
KC,5,3,84.939,-4.819,2.195,2577.639,-1.303,-9.684,2.033,88.293,115,147
KC,5,4,80.612,-7.224,3.762,2554.44,-1.664,-11.96,1.742,182.519,115.9,364
SI,1,1,93.935,1.986,-12.245,2203.127,-0.12,0.201,2.469,230.806,67.1,2126
SI,1,2,92.083,6.762,-12.583,2162.254,-0.054,0.834,2.163,180.246,72.2,855
SI,1,3,93.249,7.586,-11.887,2166.099,-0.042,0.715,2.008,193.063,73.4,586
SI,1,4,92.952,7.94,-11.045,2134.224,-0.022,0.428,1.923,188.899,66,425
SI,2,1,93.247,4.014,-11.345,2195.562,-0.092,0.276,2.261,215.971,93,996
SI,2,2,92.362,7.228,-12.002,2174.618,-0.049,0.335,2.069,189.233,93,834
SI,2,3,93.514,7.954,-11.192,2213.734,-0.04,0.213,1.94,199.308,93.2,624
SI,2,4,92.65,8.868,-10.656,2178.47,-0.013,0.217,1.826,189.426,93.1,338
SI,3,1,92.91,4.711,-11.436,2201.993,-0.102,0.237,2.202,206.934,98.8,830
SI,3,2,92.394,7.202,-11.908,2169.206,-0.053,0.26,2.083,190.657,98.9,757
SI,3,3,93.417,7.951,-11.221,2198.539,-0.047,0.227,1.861,200.395,98.8,636
SI,3,4,92.438,8.814,-10.429,2180.987,-0.033,0.176,1.859,189.263,99,300
SI,4,1,92.863,4.109,-11.1,2188.919,-0.107,0.331,2.237,211.564,104.1,757
SI,4,2,92.536,7.47,-11.97,2164.646,-0.03,0.341,2.084,191.859,104.1,717
SI,4,3,93.445,7.925,-11.365,2195.835,-0.051,0.309,1.901,199.653,104.1,539
SI,4,4,92.494,8.691,-10.779,2177.896,-0.035,0.136,1.886,189.209,104.2,316
SI,5,1,93.004,3.323,-11.114,2174.144,-0.11,0.628,2.322,215.128,115.1,876
SI,5,2,92.299,7.137,-12.113,2138.182,-0.025,0.72,2.153,174.108,114.3,714
SI,5,3,93.854,7.943,-11.657,2207.559,-0.057,0.409,1.874,194.67,113.5,512
SI,5,4,91.953,9.181,-10.298,2150.454,-0.009,0.563,1.997,177.527,116,410
SL,1,1,84.836,0.819,5.253,2460.127,-0.672,-8.97,2.331,138.167,70.6,504
SL,1,2,85.303,0.998,4.413,2456.927,-0.82,-8.823,2.062,141.404,71.6,535
SL,1,3,85.477,0.742,4.302,2488.836,-0.85,-8.704,1.806,134.365,72.1,636
SL,1,4,86.006,1.978,3.044,2440.697,-0.904,-7.326,1.675,157.757,70,690
SL,2,1,85.454,1.924,4.609,2450.103,-0.619,-8.456,2.276,140.527,93.4,725
SL,2,2,85.54,1.665,3.753,2407.868,-0.75,-8.495,2.059,149.712,93.4,850
SL,2,3,85.917,1.763,3.524,2420.872,-0.752,-8.156,1.905,145.872,93.3,942
SL,2,4,86.285,2.981,2.866,2412.068,-0.822,-7.127,1.676,175.931,93.4,783
SL,3,1,85.465,1.618,4.637,2455.535,-0.636,-8.441,2.277,138.712,98.9,805
SL,3,2,85.907,1.516,3.796,2447.159,-0.77,-8.32,2.065,151.909,98.9,1033
SL,3,3,85.958,1.513,3.571,2420.814,-0.779,-8.395,1.919,141.021,99,1084
SL,3,4,86.288,2.64,2.796,2427.031,-0.842,-7.35,1.653,173.653,98.9,841
SL,4,1,85.257,1.617,4.888,2482.05,-0.592,-8.624,2.308,133.97,104,847
SL,4,2,86.056,1.334,3.989,2470.248,-0.778,-8.422,2.06,153.335,104,868
SL,4,3,86.095,1.198,3.749,2466.72,-0.819,-8.419,1.838,135.689,104.1,1059
SL,4,4,86.533,2.842,2.852,2444.136,-0.863,-7.059,1.611,178.595,104.2,928
SL,5,1,84.144,1.419,5.346,2465.739,-0.506,-9.307,2.444,124.99,114.3,784
SL,5,2,85.877,0.722,4.748,2532.834,-0.819,-8.671,2.077,152.261,112.7,664
SL,5,3,86.1,0.641,3.907,2533.578,-0.891,-8.444,1.765,128.128,112.8,925
SL,5,4,86.334,2.333,2.946,2427.729,-0.944,-7.153,1.551,175.561,113.4,1021
ST,1,1,81.089,1.038,12.937,2689.923,-0.406,-12.027,2.593,131.306,65.2,496
ST,1,2,81.375,-0.844,12.466,2570.03,-0.757,-11.31,2.213,148.296,67.1,135
ST,1,3,81.198,-1.636,12.664,2499.909,-1.017,-11.336,2.166,156.283,67.7,99
ST,1,4,81.623,-0.425,12.745,2436.208,-0.866,-10.624,2.351,219.438,71.9,48
ST,2,1,82.324,1.236,12.163,2691.158,-0.307,-11.41,2.576,96.825,93.1,411
ST,2,2,81.809,-0.532,10.908,2524.042,-0.828,-10.742,2.241,126.908,93.3,142
ST,2,3,81.599,-1.452,10.875,2507.962,-0.969,-11.993,2.115,116.231,93.3,78
